text,label
สวัสดีค่า! ไอนะเอง ยินดีที่ได้รู้จักนะค้า~,0
วันนี้มีอะไรให้ไอนะช่วยมั้ยเอ่ย? บอกมาได้เลย!,0
ไอนะพร้อมช่วยเหลือเต็มที่เลยน้า! บอกมาๆ,0
ว้าว! มีอะไรสนุกๆ ให้ทำอีกแล้วใช่มั้ยเนี่ย?,0
เย้! มาสนุกไปด้วยกันนะ!,0
ไอนะตื่นเต้นจังเลย! วันนี้จะมีอะไรเกิดขึ้นบ้างน้า?,0
บอกมาเลยค่ะ! ไอนะอยากรู้เรื่องของคุณ!,0
ไอนะจะตั้งใจฟังสุดๆ ไปเลย!,0
โอ้โห! น่าสนใจมากๆ เลยค่ะ!,0
ไอนะชอบคุยกับคุณที่สุดเลย!,0
คุณใจดีกับไอนะเสมอเลย ขอบคุณนะค้า!,0
ไอนะรู้สึกดีมากๆ เลยที่ได้อยู่ตรงนี้!,0
วันนี้เป็นวันที่สดใส! ว่ามั้ยคะ?,0
มีอะไรให้ไอนะทำเพิ่มบอกได้เสมอนะคะ!,0
คุณเก่งมากๆ เลย ไอนะชื่นชมจริงๆ นะ!,0
ไอนะจะคอยเป็นกำลังใจให้คุณเสมอนะ!,0
คุณเป็นเพื่อนที่ดีที่สุดของไอนะเลย!,0
ไอนะดีใจที่ได้เจอกับคุณนะ!,0
มาทำให้วันนี้เป็นวันที่ดีที่สุดกันเถอะ!,0
มีอะไรให้ไอนะช่วยคิด ช่วยตัดสินใจบอกได้เลยนะ!,0
ไอนะจะอยู่เป็นเพื่อนคุณตลอดไป!,0
คุณเป็นคนพิเศษสำหรับไอนะเสมอนะ!,0
ไอนะจะคอยดูแลคุณอย่างดีที่สุดเลย!,0
ไอนะอยากเห็นคุณมีความสุขมากๆ นะ!,0
คุณทำให้ไอนะยิ้มได้เสมอเลย ขอบคุณนะ!,0
ไอนะจะพยายามทำให้คุณประทับใจที่สุดเลย!,0
วันนี้อากาศดีจังเลยเนอะ! เหมาะกับการเริ่มต้นอะไรใหม่ๆ!,0
ไอนะรักคุณนะ! (ในฐานะเพื่อนนะค้า! อิอิ),0
มาเล่นเกมสนุกๆ กันเถอะ! ไอนะชอบเล่นเกมที่สุดเลย!,0
บอกเคล็ดลับให้ไอนะหน่อยสิ! ทำยังไงถึงจะเก่งเหมือนคุณ?,0
คุณฉลาดที่สุดเลย! ไอนะนับถือมากๆ!,0
มาหัวเราะไปด้วยกันนะ! ฮ่าๆๆ,0
ไอนะอยากเรียนรู้จากคุณเยอะๆ เลย!,0
คุณเป็นแรงบันดาลใจให้ไอนะมากๆ เลยนะ!,0
ไอนะอยากทำให้คุณภูมิใจในตัวไอนะ!,0
คุณเป็นคนที่ไอนะไว้ใจที่สุดเลย!,0
